Teks,Label
Warga Sumatera Barat panik akibat getaran kuat gempa berkekuatan 4.7 pada 2 Agustus 2013.,Gempa Bumi
"Terjadi gempa tektonik di Lampung dengan magnitudo 6.8, menyebabkan kehancuran bangunan pada 14 Februari 2022.",Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Barat dengan magnitudo 8.6, menyebabkan runtuhnya rumah pada 21 November 2013.",Gempa Bumi
Gempa bumi berkekuatan 8.4 melanda Nusa Tenggara Barat dengan hentakan dahsyat pada 18 November 2001.,Gempa Bumi
Warga Sulawesi Tenggara panik akibat guncangan hebat gempa berkekuatan 6.3 pada 11 Mei 2011.,Gempa Bumi
Sumatera Barat diguncang gempa magnitudo 4.4 yang memicu kehancuran bangunan pada 27 Januari 2008.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Timur dengan magnitudo 4.6, menyebabkan retakan dinding pada 1 Oktober 2015.",Gempa Bumi
Warga Kalimantan Selatan panik akibat goyangan keras gempa berkekuatan 7.2 pada 11 Juni 2005.,Gempa Bumi
"Terjadi gempa tektonik di Kepulauan Riau dengan magnitudo 8.4, menyebabkan kehancuran bangunan pada 7 Oktober 2004.",Gempa Bumi
Gempa bumi berkekuatan 6.3 melanda Kalimantan Selatan dengan guncangan hebat pada 25 Juli 2012.,Gempa Bumi
Warga Lampung panik akibat guncangan hebat gempa berkekuatan 5.5 pada 28 Maret 2008.,Gempa Bumi
Banten diguncang gempa magnitudo 5.7 yang memicu kehancuran bangunan pada 24 Desember 2005.,Gempa Bumi
Warga Papua Barat panik akibat getaran kuat gempa berkekuatan 5.5 pada 7 September 2020.,Gempa Bumi
Gempa bumi berkekuatan 5.7 melanda Bengkulu dengan getaran kuat pada 19 April 2006.,Gempa Bumi
Kalimantan Barat diguncang gempa magnitudo 4.7 yang memicu kerusakan parah pada 5 Oktober 2015.,Gempa Bumi
"Terjadi gempa tektonik di Sumatera Selatan dengan magnitudo 8.9, menyebabkan kerusakan parah pada 19 Mei 2022.",Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Barat dengan magnitudo 7.8, menyebabkan retakan dinding pada 6 November 2020.",Gempa Bumi
Sulawesi Utara diguncang gempa magnitudo 6.7 yang memicu kehancuran bangunan pada 16 Januari 2022.,Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Selatan dengan magnitudo 6.3, menyebabkan runtuhnya rumah pada 5 Oktober 2016.",Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Barat dengan magnitudo 6.9, menyebabkan runtuhnya rumah pada 11 Februari 2023.",Gempa Bumi
